Zeitraum Start	Zeitraum Ende	OhdAb	Vorkommen	Normvarianten	Zunft	Gewerbe	Kommentare	Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20
1400	1700	https://database.factgrid.de/wiki/Item:Q675971	77	glaser	Himmel	Steine																					
1400	1700	https://database.factgrid.de/wiki/Item:Q689885	76	ratsschreiber;stadtschreiber	Freie Berufe	Schreiber																					
1400	1700	https://database.factgrid.de/wiki/Item:Q687143	76	schreiber;Schreiber;pfalzhausschreiber;salzhausschreiber;salzschreiber	Freie Berufe	Schreiber																					
1400	1700	https://database.factgrid.de/wiki/Item:Q693978	75	knecht;diener;kaufhausknecht;oberster ratknecht;ratsknecht;steinknecht	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q663193	71	buchbinder	Safran	Papier																					
1400	1700	https://database.factgrid.de/wiki/Item:Q672169	70	säckler	Safran	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q671972	66	weissgerber	Safran	Leder																					
1400	1700	#träger	64	träger																							
1400	1700	https://database.factgrid.de/wiki/Item:Q689159	63	Prokurator;prokurator	Freie Berufe	Rechtswesen																					
1400	1700	https://database.factgrid.de/wiki/Item:Q698996	63	gürtler	Safran	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q676324	60	spengler	Safran	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q679188	59	kornmesser	Brotbecken	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694797	59	prediger;prädikant;verkünder;verkünder des göttlichen worts	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q657757	54	fuhrmann;einspänniger;gutferger;wagenmann	Gartnern	Verkehr																					
1400	1700	https://database.factgrid.de/wiki/Item:Q673975	54	koch	Gartnern	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q687724	53	wechsler;stadtwechsler	Hausgenossen	Handel																					
1400	1700	#arznei-doktor	52	arznei-doktor	Goldener Stern	Hygiene																					
1400	1700	https://database.factgrid.de/wiki/Item:Q689064	44	notar	Freie Berufe	Gelehrte																					
1400	1700	https://database.factgrid.de/wiki/Item:Q659999	44	ziegler	Spinnwettern	Steine																					
1400	1700	https://database.factgrid.de/wiki/Item:Q686058	44	alt-bürgermeister;bürgermeister	Politisches Amt	Politisches Amt																					
